fid,OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,GEOID_Data,Cases
1,2066,12,031,014002,12031014002,140.02,Census Tract 140.02,G5020,S,3428380,700092,+30.3182098,-081.4248919,0.087841564517016,0.000387209765625,14000US12031014002,0
2,2067,12,031,002101,12031002101,21.01,Census Tract 21.01,G5020,S,1613107,0,+30.3094236,-081.7028216,0.052739307756051,0.000151281895313,14000US12031002101,798
3,2068,12,031,014412,12031014412,144.12,Census Tract 144.12,G5020,S,136885141,801903,+30.1745516,-081.4740190,0.497070950429377,0.012895537383794,14000US12031014412,268
4,2069,12,031,015502,12031015502,155.02,Census Tract 155.02,G5020,S,2393499,13124,+30.3215346,-081.5713656,0.072748025028593,0.000225727863735,14000US12031015502,2375
5,2070,12,031,016729,12031016729,167.29,Census Tract 167.29,G5020,S,2865054,168846,+30.1734544,-081.5898972,0.072995720002196,0.000284145734946,14000US12031016729,1021
6,1299,12,031,011100,12031011100,111,Census Tract 111,G5020,S,2813825,862717,+30.3937751,-081.6708858,0.087461568883674,0.000345087689401,14000US12031011100,2946
7,2071,12,031,014408,12031014408,144.08,Census Tract 144.08,G5020,S,3953513,1411771,+30.2757590,-081.4293293,0.098116525286935,0.00050298722779,14000US12031014408,501
8,1300,12,031,011200,12031011200,112,Census Tract 112,G5020,S,2073670,354189,+30.3898594,-081.6933907,0.078331501141286,0.000227877616635,14000US12031011200,1717
9,2072,12,031,017300,12031017300,173,Census Tract 173,G5020,S,282365593,1088060,+30.2737719,-081.9400913,0.782403419275262,0.026570134224789,14000US12031017300,383
10,1301,12,031,011300,12031011300,113,Census Tract 113,G5020,S,2536930,87785,+30.3921062,-081.7081201,0.072339432030557,0.000246354270484,14000US12031011300,2869
11,1302,12,031,011400,12031011400,114,Census Tract 114,G5020,S,2375043,3834,+30.3790818,-081.7120424,0.076242369149501,0.000223255967512,14000US12031011400,1878
12,1303,12,031,011500,12031011500,115,Census Tract 115,G5020,S,4069503,30595,+30.3749094,-081.6868637,0.08221066398441,0.000384782467021,14000US12031011500,5611
13,1305,12,031,011600,12031011600,116,Census Tract 116,G5020,S,4021161,9843,+30.3716220,-081.7127733,0.099398956809932,0.000378267276122,14000US12031011600,3404
14,1306,12,031,011700,12031011700,117,Census Tract 117,G5020,S,17703594,414488,+30.3544955,-081.7686444,0.220993672152008,0.001699984935097,14000US12031011700,2029
15,1307,12,031,011800,12031011800,118,Census Tract 118,G5020,S,11218681,821,+30.3389167,-081.7416890,0.144128059249248,0.001052505415478,14000US12031011800,3199
16,1308,12,031,011901,12031011901,119.01,Census Tract 119.01,G5020,S,24184909,438546,+30.3261455,-081.8088076,0.256828254826601,0.002309651390983,14000US12031011901,1861
17,1309,12,031,011902,12031011902,119.02,Census Tract 119.02,G5020,S,11742013,45496,+30.2896406,-081.8241408,0.168654664856903,0.001105282440891,14000US12031011902,1269
18,1311,12,031,011903,12031011903,119.03,Census Tract 119.03,G5020,S,7119251,232086,+30.3081835,-081.8125858,0.167039664882382,0.000689416610146,14000US12031011903,729
19,1312,12,031,012100,12031012100,121,Census Tract 121,G5020,S,7401492,6126,+30.3195950,-081.7404135,0.165986969905504,0.000694779857617,14000US12031012100,2076
20,1313,12,031,012200,12031012200,122,Census Tract 122,G5020,S,5101546,52105,+30.2981396,-081.7416891,0.096475289715812,0.000483268387134,14000US12031012200,2878
21,1314,12,031,012400,12031012400,124,Census Tract 124,G5020,S,2227328,457651,+30.2750716,-081.7279137,0.0685839423854,0.00025172110869,14000US12031012400,1258
22,1315,12,031,012500,12031012500,125,Census Tract 125,G5020,S,2498539,154816,+30.2715136,-081.7409763,0.075582313183257,0.000248745577854,14000US12031012500,1315
23,1316,12,031,012601,12031012601,126.01,Census Tract 126.01,G5020,S,2869939,25685,+30.2929567,-081.7604717,0.073183904489956,0.000271517206668,14000US12031012601,709
24,3631,12,031,014336,12031014336,143.36,Census Tract 143.36,G5020,S,4455535,0,+30.3304380,-081.4810918,0.083339061675281,0.000417941787545,14000US12031014336,458
25,3632,12,031,014337,12031014337,143.37,Census Tract 143.37,G5020,S,6529799,7802,+30.3104430,-081.5027941,0.108897109851774,0.000613135925842,14000US12031014337,789
26,1321,12,031,012602,12031012602,126.02,Census Tract 126.02,G5020,S,4664842,56262,+30.2802229,-081.7572772,0.100941374021555,0.000442629608776,14000US12031012602,2271
27,1322,12,031,012702,12031012702,127.02,Census Tract 127.02,G5020,S,12819550,140438,+30.2698740,-081.8007012,0.179025581511419,0.00121493208293,14000US12031012702,2468
28,1323,12,031,012800,12031012800,128,Census Tract 128,G5020,S,4994443,98944,+30.2580595,-081.7628083,0.093868923511979,0.000477431745711,14000US12031012800,2693
29,1324,12,031,012900,12031012900,129,Census Tract 129,G5020,S,1618483,0,+30.2589117,-081.7473951,0.064375117991354,0.000151709771305,14000US12031012900,970
30,1327,12,031,013000,12031013000,130,Census Tract 130,G5020,S,2644345,6406728,+30.2644489,-081.6994344,0.17186707086015,0.000848454763148,14000US12031013000,100
31,1328,12,031,013100,12031013100,131,Census Tract 131,G5020,S,3831430,4122547,+30.2486237,-081.6879314,0.154156138905824,0.000745481203192,14000US12031013100,503
32,1329,12,031,013200,12031013200,132,Census Tract 132,G5020,S,14427426,8746079,+30.2221088,-081.6691279,0.190956517263031,0.002171340154681,14000US12031013200,138
33,1330,12,031,013300,12031013300,133,Census Tract 133,G5020,S,8245156,333369,+30.2095811,-081.7118822,0.15401735532369,0.000803727343714,14000US12031013300,974
34,3643,12,031,014338,12031014338,143.38,Census Tract 143.38,G5020,S,2164217,14561,+30.3105301,-081.5214843,0.069674531102127,0.000204336691811,14000US12031014338,1178
35,3644,12,031,002102,12031002102,21.02,Census Tract 21.02,G5020,S,957055,2621655,+30.3019349,-081.6959386,0.081830560294613,0.000335583313997,14000US12031002102,218
36,3645,12,031,002501,12031002501,25.01,Census Tract 25.01,G5020,S,1691046,0,+30.3158643,-081.7085969,0.058738715750843,0.000158601946161,14000US12031002501,2160
37,3646,12,031,002502,12031002502,25.02,Census Tract 25.02,G5020,S,2062620,0,+30.3132677,-081.7226262,0.06509639338718,0.00019344650668,14000US12031002502,1674
38,3647,12,031,010401,12031010401,104.01,Census Tract 104.01,G5020,S,2114605,728329,+30.4228579,-081.6833000,0.080277956280597,0.000266924791254,14000US12031010401,928
39,1335,12,031,001300,12031001300,13,Census Tract 13,G5020,S,2280488,0,+30.3585493,-081.6576284,0.074366420989212,0.000213976856507,14000US12031001300,4462
40,4162,12,031,014409,12031014409,144.09,Census Tract 144.09,G5020,S,7167746,106358,+30.2732074,-081.4739770,0.117399695881644,0.000681947231784,14000US12031014409,106
41,1336,12,031,001400,12031001400,14,Census Tract 14,G5020,S,4817702,226685,+30.3752097,-081.6656409,0.109401477375797,0.000473387414552,14000US12031001400,5080
42,4163,12,031,014413,12031014413,144.13,Census Tract 144.13,G5020,S,11943445,311357,+30.1744730,-081.5357813,0.177837358404198,0.001147832776392,14000US12031014413,626
43,1337,12,031,001500,12031001500,15,Census Tract 15,G5020,S,1930545,0,+30.3561218,-081.6707568,0.072142867473612,0.00018113720857,14000US12031001500,7441
44,4164,12,031,014411,12031014411,144.11,Census Tract 144.11,G5020,S,8026011,69184,+30.1991011,-081.5303521,0.141739750667599,0.000758404947045,14000US12031014411,92
45,1338,12,031,001600,12031001600,16,Census Tract 16,G5020,S,1253797,0,+30.3447181,-081.6678811,0.056756970666795,0.000117626564063,14000US12031001600,1840
46,4165,12,031,014603,12031014603,146.03,Census Tract 146.03,G5020,S,5674012,124290,+30.3445240,-081.5352820,0.118186142547866,0.000543973129465,14000US12031014603,1037
47,1339,12,031,001200,12031001200,12,Census Tract 12,G5020,S,1386533,0,+30.3471021,-081.6533750,0.053215253831731,0.000130082113081,14000US12031001200,2765
48,4166,12,031,014604,12031014604,146.04,Census Tract 146.04,G5020,S,5410688,118838,+30.3317411,-081.5459584,0.102810363363946,0.000518691274368,14000US12031014604,377
